geotype,geoid,geoname,varname,x2021,State,Cluster
county,53043,"Lincoln County, WA",co2limits,58.36,WA,2.0
county,53045,"Mason County, WA",co2limits,65.63,WA,2.0
county,53047,"Okanogan County, WA",co2limits,63.98,WA,2.0
county,53049,"Pacific County, WA",co2limits,66.1,WA,2.0
county,53051,"Pend Oreille County, WA",co2limits,58.99,WA,2.0
county,53053,"Pierce County, WA",co2limits,69.14,WA,2.0
county,53055,"San Juan County, WA",co2limits,75.87,WA,2.0
county,53057,"Skagit County, WA",co2limits,65.58,WA,2.0
county,53059,"Skamania County, WA",co2limits,62.32,WA,2.0
county,53061,"Snohomish County, WA",co2limits,70.21,WA,2.0
county,53063,"Spokane County, WA",co2limits,64.58,WA,2.0
county,53065,"Stevens County, WA",co2limits,58.15,WA,2.0
county,53067,"Thurston County, WA",co2limits,65.92,WA,2.0
county,53069,"Wahkiakum County, WA",co2limits,57.99,WA,2.0
county,53071,"Walla Walla County, WA",co2limits,67.05,WA,2.0
county,53073,"Whatcom County, WA",co2limits,71.39,WA,2.0
county,53075,"Whitman County, WA",co2limits,70.08,WA,2.0
county,53077,"Yakima County, WA",co2limits,66.59,WA,2.0
county,22001,"Acadia Parish, LA",drilloffshore,66.44,LA,1.0
county,22003,"Allen Parish, LA",drilloffshore,66.25,LA,1.0
county,22005,"Ascension Parish, LA",drilloffshore,64.6,LA,1.0
county,22007,"Assumption Parish, LA",drilloffshore,66.32,LA,1.0
county,22009,"Avoyelles Parish, LA",drilloffshore,63.86,LA,1.0
county,22011,"Beauregard Parish, LA",drilloffshore,69.04,LA,1.0
county,22013,"Bienville Parish, LA",drilloffshore,65.2,LA,1.0
county,22015,"Bossier Parish, LA",drilloffshore,64.35,LA,1.0
county,22017,"Caddo Parish, LA",drilloffshore,59.61,LA,1.0
county,22019,"Calcasieu Parish, LA",drilloffshore,66.9,LA,1.0
county,22021,"Caldwell Parish, LA",drilloffshore,64.78,LA,1.0
county,22023,"Cameron Parish, LA",drilloffshore,73.08,LA,1.0
county,22025,"Catahoula Parish, LA",drilloffshore,69.1,LA,1.0
county,22027,"Claiborne Parish, LA",drilloffshore,61.1,LA,1.0
county,22029,"Concordia Parish, LA",drilloffshore,68.55,LA,1.0
county,22031,"De Soto Parish, LA",drilloffshore,68.39,LA,1.0
county,22033,"East Baton Rouge Parish, LA",drilloffshore,57.3,LA,1.0
county,22035,"East Carroll Parish, LA",drilloffshore,63.32,LA,1.0
county,22037,"East Feliciana Parish, LA",drilloffshore,66.07,LA,1.0
county,22039,"Evangeline Parish, LA",drilloffshore,66.53,LA,1.0
county,22041,"Franklin Parish, LA",drilloffshore,67.47,LA,1.0
county,22043,"Grant Parish, LA",drilloffshore,68.32,LA,1.0
county,22045,"Iberia Parish, LA",drilloffshore,64.07,LA,1.0
